setting,g,base_rate_parameter,regime,budget_fraction,baseline,groups,coefficient_mse_difference,coefficient_mse_difference_se,coefficient_mse_ratio_of_means,gradient_mse_difference,gradient_mse_difference_se,gradient_mse_ratio_of_means,expected_cost_difference,expected_cost_difference_se,expected_cost_ratio_of_means,total_algorithm_cpu_seconds_difference,total_algorithm_cpu_seconds_difference_se,total_algorithm_cpu_seconds_ratio_of_means
g16_base0.8_overconfident,16,0.8,overconfident,0.25,rr_fixed,256,-7.011133593684296,0.47930758532164686,0.806412937324768,-0.19025665309230638,0.01755298800440009,0.80179132390025,-1.734723475976807e-18,3.756096765996493e-17,1.0,0.0046353179999923545,9.311197202509059e-06,2.337166617535206
g16_base0.8_overconfident,16,0.8,overconfident,0.5,whole_group_cv,256,0.4699076478041244,0.26873078077474616,1.049980194601194,-0.002861392446858453,0.009659310276378745,0.988927686283745,-5.689893001203927e-16,7.495617767133489e-17,1.0,0.009874701043756987,1.9226687305980503e-05,19.1574348054545
g16_base0.8_overconfident,16,0.8,overconfident,0.5,rr_fixed,256,-1.0052184229313479,0.1773791371264319,0.9075831453017521,-0.0309283123242547,0.005594287170138071,0.8920457441313516,-6.591949208711867e-17,8.119761678842756e-17,1.0,0.004824594487303808,1.0631738759860656e-05,1.8624673578630007
g16_base0.8_overconfident,16,0.8,overconfident,0.75,whole_group_cv,256,0.14530057391817452,0.15883100800267655,1.0463632651694321,-0.003413012628559204,0.004818453656068554,0.9603794859571565,-1.2628786905111156e-15,1.1309483025614308e-16,1.0,0.011881035048607977,1.8363098353115647e-05,22.554387242933473
g16_base0.8_overconfident,16,0.8,overconfident,0.75,rr_fixed,256,0.15015020032744306,0.0991224691528014,1.0479849633131064,0.0003548628477426949,0.002279536973058096,1.004307911304357,-4.163336342344337e-17,1.1918179302997378e-16,1.0,0.005003815779449608,9.32582477740905e-06,1.6736033027744153
g16_base0.8_shifted,16,0.8,shifted,0.25,whole_group_cv,256,20.30758980736605,0.9394662645194523,1.5065919361019409,0.44647503938233374,0.034916936422203386,1.3619731798125374,-2.8275992658421956e-16,3.533199052668715e-17,1.0,0.007565354012101491,1.216130067873683e-05,15.020843265052173
g16_base0.8_shifted,16,0.8,shifted,0.25,rr_fixed,256,-14.350429031352183,0.8236029436808759,0.8080074054070254,-0.3649423829872137,0.03553346093222487,0.8215323090382314,3.642919299551295e-17,3.875961769562911e-17,1.0,0.004633412082740101,8.743033829217082e-06,2.3346922117039206
g16_base0.8_shifted,16,0.8,shifted,0.5,whole_group_cv,256,10.02109180492744,0.46469756970601184,1.7499566931579567,0.22011391317914764,0.017268377015979313,1.5353625133310609,-6.210310043996969e-16,6.82831708978424e-17,1.0,0.009877670623828732,1.8980861087247673e-05,19.08650766358363
g16_base0.8_shifted,16,0.8,shifted,0.5,rr_fixed,256,-0.9034823974484385,0.3373584014561404,0.9627994490310868,-0.02571586479996162,0.012300280324682333,0.960857405736525,-5.204170427930421e-17,7.407914846548273e-17,1.0,0.004814925266866239,1.0155361894251247e-05,1.8584468132017917
g16_base0.8_shifted,16,0.8,shifted,0.75,whole_group_cv,256,5.147607971523385,0.2555340528673503,2.155707320263942,0.11754302792220275,0.00929099848973832,1.857666786402873,-1.1587952819525071e-15,1.1509642971935984e-16,1.0,0.011874503366579543,1.723400761930879e-05,22.451099586580465
g16_base0.8_shifted,16,0.8,shifted,0.75,rr_fixed,256,1.6183185286476265,0.1736430899408663,1.202711323564553,0.03922756404556592,0.005655471297061121,1.182144374072244,1.1102230246251565e-16,1.2725139239218539e-16,1.0,0.0049927905280269455,8.839625204336115e-06,1.6715005102636031
g16_base0.95_calibrated,16,0.95,calibrated,0.25,whole_group_cv,256,-8.040018490749187,0.7825076662977541,0.7070445053689068,-0.1711697552837809,0.020820895184237707,0.7126794620251397,-2.411265631607762e-16,3.4480027643483164e-17,1.0,0.007586459350124369,1.965512829875686e-05,15.059219800518099
g16_base0.95_calibrated,16,0.95,calibrated,0.25,rr_fixed,256,-3.27643546205098,0.5698842650715304,0.8555422266743754,-0.07349856750374892,0.01591850679914964,0.852434367638873,3.469446951953614e-18,3.6209055377180614e-17,1.0,0.004853911973582793,1.4984579262318214e-05,2.483399249917026
g16_base0.95_calibrated,16,0.95,calibrated,0.5,whole_group_cv,256,-3.9295239638362607,0.3726689409879823,0.570457839935969,-0.08602399438508809,0.010239711968352227,0.5668079275250584,-4.787836793695988e-16,6.665050328686206e-17,1.0,0.009827425415958988,2.4270839592682436e-05,18.998046303819176
g16_base0.95_calibrated,16,0.95,calibrated,0.5,rr_fixed,256,-0.34487826470631255,0.17426603837811866,0.9380108088603759,-0.006155759225776785,0.0036145139127966505,0.9481460499685702,-3.469446951953614e-17,6.931679145721998e-17,1.0,0.004988517961188136,1.619947660689629e-05,1.9263840970848238
g16_base0.95_calibrated,16,0.95,calibrated,0.75,whole_group_cv,256,-1.9852888535753563,0.16045255015524248,0.34895529049024315,-0.04476664977538483,0.0047640073589693315,0.3237041153722412,-9.020562075079397e-16,9.223105887407301e-17,1.0,0.011801930190074627,2.3184407368281276e-05,22.332378696956024
g16_base0.95_calibrated,16,0.95,calibrated,0.75,rr_fixed,256,-0.07717618782130797,0.058279562371046846,0.9323773247180909,-0.0014495732481601658,0.0013870829648687754,0.9366356780257735,2.8449465006019636e-16,1.0958353360143505e-16,1.0,0.005052023638837333,1.5473338490778178e-05,1.6917598382097907
