org_code,year,field,source_cell,source_sheet,reason
RQ3,2023,burnout_n,ATB79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2023,n_resp,BAJ79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2023,response_rate,BAI79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2023,wellbeing_action,AMS79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2023,wellbeing_action_n,AUO79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2023,intent_leave,AOO79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2023,intent_leave_n,AWK79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2023,thinking_about_leaving_score,ALN79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2023,thinking_about_leaving_n,ASN79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2023,work_related_stress,AMT79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2023,work_related_stress_n,AUP79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2024,burnout_score,TF79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2024,burnout_n,ABK79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2024,n_resp,AIT79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2024,response_rate,AIS79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2024,wellbeing_action,VA79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2024,wellbeing_action_n,ACX79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2024,intent_leave,WX79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2024,intent_leave_n,AEU79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2024,thinking_about_leaving_score,TV79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2024,thinking_about_leaving_n,AAW79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2024,work_related_stress,VB79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2024,work_related_stress_n,ACY79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2021,burnout_score,BTN96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2021,burnout_n,CBD96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2021,n_resp,CHX96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2021,response_rate,CHW96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2021,wellbeing_action,BVI96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2021,wellbeing_action_n,CCQ96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2021,intent_leave,BWW96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2021,intent_leave_n,CEE96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2021,thinking_about_leaving_score,BUD96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2021,thinking_about_leaving_n,CAP96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2021,work_related_stress,BVJ96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2021,work_related_stress_n,CCR96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2022,burnout_score,BCN96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2022,burnout_n,BKJ96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2022,n_resp,BRJ96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2022,response_rate,BRI96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2022,wellbeing_action,BEI96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2022,wellbeing_action_n,BLW96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2022,intent_leave,BGB96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2022,intent_leave_n,BNP96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2022,thinking_about_leaving_score,BDD96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2022,thinking_about_leaving_n,BJV96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2022,work_related_stress,BEJ96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2022,work_related_stress_n,BLX96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2023,burnout_score,AKX96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2023,burnout_n,ATB96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2023,n_resp,BAJ96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2023,response_rate,BAI96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2023,wellbeing_action,AMS96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2023,wellbeing_action_n,AUO96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2023,intent_leave,AOO96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2023,intent_leave_n,AWK96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2023,thinking_about_leaving_score,ALN96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2023,thinking_about_leaving_n,ASN96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2023,work_related_stress,AMT96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2023,work_related_stress_n,AUP96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RTX,2024,burnout_score,TF96,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
