setting,g,base_rate_parameter,regime,budget,method,expectation_mode,groups,coefficient_mse,coefficient_mse_se,conditional_bias_sq_mc_corrected,conditional_bias_sq_mc_corrected_se,gradient_mse,gradient_mse_se,gradient_bias_sq_mc_corrected,gradient_bias_sq_mc_corrected_se,expected_cost,expected_cost_se,complete_group_probability,complete_group_probability_se
g16_p0.8_calibrated,16,0.8,calibrated,0.25,rr_development,exact,256,22.001584613200592,0.5841395417438893,1.499603426177816e-31,7.163383626165005e-33,0.5666998348249781,0.024620859259627655,2.7918001333121984e-33,2.0810243630908967e-34,4.0,3.662449400698043e-17,0.17352149054422694,0.0004034896594939267
g16_p0.8_calibrated,16,0.8,calibrated,0.25,ht_then_normalize,Monte Carlo audit masks,256,12.85894768948589,0.13258026869828815,3.3944441459632517,0.09460064698960961,0.2670857858835327,0.006009899465359577,0.06691499097067294,0.0034352740743036625,4.0,0.0,2.3283064365386963e-10,0.0
g16_p0.8_calibrated,16,0.8,calibrated,0.25,partial_then_normalize,Monte Carlo audit masks,256,9.441987880386625,0.22026650448476923,4.827653565314714,0.15861505445163804,0.21665512726252573,0.007655983947895429,0.1130043967893988,0.005547596569940478,4.0,0.0,2.3283064365386963e-10,0.0
g16_p0.8_calibrated,16,0.8,calibrated,0.5,full,exact,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.31396435747594e-17,1.0,0.0
g16_p0.8_calibrated,16,0.8,calibrated,0.5,proxy_completion,exact,256,8.397551292411574,0.17454244664427354,8.397551292411574,0.17454244664427354,0.2150070282623286,0.009177365587783228,0.2150070282623286,0.009177365587783228,0.0,0.0,0.0,0.0
g16_p0.8_calibrated,16,0.8,calibrated,0.5,whole_group_cv,exact,256,8.397551292411574,0.17454244664427354,4.8121212239611984e-32,2.6205810594214778e-33,0.2150070282623286,0.009177365587783228,8.356525066453264e-34,6.097752796596234e-35,8.0,0.0,0.5,0.0
g16_p0.8_calibrated,16,0.8,calibrated,0.5,rr_fixed,exact,256,6.941298462863294,0.28665996893879486,9.428305506113927e-32,4.584191413988243e-33,0.17821303885349662,0.010252919057407791,1.615536935034696e-33,1.0714927257824294e-34,8.0,6.632249195899891e-17,0.26078230672847136,0.0011268529326819566
g16_p0.8_calibrated,16,0.8,calibrated,0.5,rr_development,exact,256,6.710598122045831,0.211634963887307,1.3156536629415277e-31,6.373185967157832e-33,0.1730738110803833,0.008310643126796767,2.5175947224260643e-33,1.6435443149301942e-34,8.0,6.343548442159196e-17,0.3544119225968515,0.0007927655719351966
g16_p0.8_calibrated,16,0.8,calibrated,0.5,ht_then_normalize,Monte Carlo audit masks,256,7.256750240821242,0.10097423139400963,1.3099170747132212,0.06028526806881099,0.15178214033374185,0.0037640549497530693,0.022504935662356874,0.0013647355083654547,8.0,0.0,1.52587890625e-05,0.0
g16_p0.8_calibrated,16,0.8,calibrated,0.5,partial_then_normalize,Monte Carlo audit masks,256,6.017412295508934,0.13314071684620743,1.6701450076328537,0.0694527259876411,0.13405346932699477,0.0041504830795790325,0.037414222891467654,0.001903434730701039,8.0,0.0,1.52587890625e-05,0.0
g16_p0.8_calibrated,16,0.8,calibrated,0.75,full,exact,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.31396435747594e-17,1.0,0.0
