scenario,alpha,relative_bias,absolute_bias,derivative_squared,oracle_selection_bias
untouched_selected,0.15,0.11284630468932032,0.1484318025222359,0.13162176999292705,0.0
untouched_selected,0.155,0.1157405582441806,0.15337952927297702,0.13299590842061093,2.220446049250313e-16
untouched_selected,0.16,0.11859205463289486,0.1583272560237181,0.134266751102273,0.0
untouched_selected,0.165,0.12140173284908351,0.16327498277445923,0.13543942810461174,0.0
untouched_selected,0.17,0.12417050463544925,0.16822270952520058,0.1365188078681667,0.0
untouched_selected,0.17500000000000002,0.1268992554636483,0.17317043627594167,0.13750951172425768,0.0
untouched_selected,0.18,0.12958884547225202,0.178118163026683,0.1384159275276679,0.0
untouched_selected,0.185,0.132240110364868,0.18306588977742388,0.1392422224640479,0.0
untouched_selected,0.19,0.1348538622703841,0.18801361652816545,0.13999235508673213,0.0
untouched_selected,0.195,0.137430890567175,0.19296134327890677,0.14067008663371494,2.220446049250313e-16
untouched_selected,0.2,0.13997196267302664,0.19790907002964767,0.1412789916718939,0.0
untouched_selected,0.20500000000000002,0.14247782480242202,0.20285679678038876,0.14182246811233312,0.0
untouched_selected,0.21,0.14494920269274972,0.2078045235311301,0.14230374663720197,2.220446049250313e-16
untouched_selected,0.215,0.14738680230091247,0.21275225028187142,0.1427258995761836,0.0
untouched_selected,0.22,0.14979131047173058,0.21769997703261232,0.14309184926750707,0.0
untouched_selected,0.225,0.1521633955794633,0.22264770378335363,0.1434043759363131,0.0
untouched_selected,0.23,0.1545037081436948,0.22759543053409498,0.1436661251208059,0.0
untouched_selected,0.23500000000000001,0.15681288142077685,0.2325431572848363,0.14387961467455151,2.220446049250313e-16
untouched_selected,0.24,0.15909153197194598,0.2374908840355772,0.14404724137135078,0.0
untouched_selected,0.245,0.1613402602091829,0.2424386107863185,0.1441712871373209,2.7755575615628914e-17
untouched_selected,0.25,0.1635596509198201,0.24738633753705963,0.14425392493315978,0.0
untouched_selected,0.255,0.16575027377086066,0.252334064287801,0.14429722430802805,2.237726045655905e-16
untouched_selected,0.26,0.16791268379391072,0.25728179103854204,0.1443031566450548,0.0
untouched_selected,0.265,0.17004742185159408,0.26222951778928316,0.14427360011714865,2.7755575615628914e-17
untouched_selected,0.27,0.17215501508626294,0.2671772445400243,0.14421034437056626,0.0
untouched_selected,0.275,0.17423597735178592,0.2721249712907658,0.14411509495254574,2.237726045655905e-16
untouched_selected,0.28,0.1762908096291502,0.27707269804150697,0.14398947749825278,0.0
untouched_selected,0.28500000000000003,0.1783200004265836,0.28202042479224804,0.14383504169129976,2.7755575615628914e-17
untouched_selected,0.29,0.1803240261648606,0.28696815154298916,0.14365326501117986,0.0
untouched_selected,0.295,0.1823033515484294,0.29191587829373045,0.14344555628010372,2.7755575615628914e-17
untouched_selected,0.3,0.18425842992296498,0.29686360504447157,0.14321325902093335,2.220446049250313e-16
untouched_selected,0.305,0.18618970361992243,0.3018113317952127,0.1429576546371652,2.7755575615628914e-17
untouched_selected,0.31,0.18809760428863795,0.3067590585459538,0.14267996542522646,0.0
untouched_selected,0.315,0.18998255321649885,0.31170678529669515,0.14238135742870517,2.7755575615628914e-17
