n,alpha,method,repetitions,mse_full,mse_full_mcse,ci_low,ci_high,exact_mse_full,mse_own,bias_own_0,bias_own_1,mcse_mean_0,mcse_mean_1
4,1,unweighted,10000,1.2587868750000002,0.011059629356616635,1.2371100014610317,1.2804637485389687,1.2466499999999998,1.2587868750000002,0.5688000000001097,0.5603050000000112,0.007074505167312851,0.0034768900721704444
4,1,oracle_ipw,10000,2.182688078703704,0.045253064754677004,2.093992071784537,2.2713840856228713,2.2118055555555562,2.182688078703704,0.009650000000000158,-0.0009749999999937586,0.013407049457189108,0.006207435342653495
4,1,self_normalized,10000,1.507947599988662,0.01106028040316182,1.4862694503984648,1.5296257495788592,,1.507947599988662,0.3437952857144029,0.32654609523809386,0.009531865368323456,0.0061211420505736525
4,1,population_clipped,10000,1.0585264042422526,0.01452472557549531,1.030057942114282,1.0869948663702234,1.0640036848072563,1.0585264042422526,0.3091946428572281,0.29971071428571927,0.008209078065423356,0.0044642609305374946
16,0,unweighted,10000,0.40580128125000003,0.0030786645859701804,0.39976709866149845,0.4118354638385016,0.41175,0.75172565625,0.5648387499999987,0.5574937499999982,0.003183517502812388,0.0014334543636736483
16,0,oracle_ipw,10000,1.4185388213734569,0.010857730883691059,1.3972576688414224,1.4398199739054913,1.427083333333333,0.3592120852623459,0.0022798611111110034,-0.0027729166666667264,0.004989099064663482,0.0033215060916812027
16,0,self_normalized,10000,1.2782902189576246,0.011350577632333254,1.2560430867982515,1.3005373511169978,,0.4723889501084184,0.10373101785714978,0.09827339087301591,0.005663929546596954,0.0036223664811522284
16,0,population_clipped,10000,0.6607975680665783,0.005426349996687042,0.6501619220730717,0.6714332140600849,0.6689200680272109,0.3542839271935627,0.303650694444469,0.2973699404761968,0.00352620841729812,0.002220972991793182
16,0.25,unweighted,10000,0.30050012329101566,0.0020887200678964095,0.2964062319579387,0.30459401462409263,0.30458203125000016,0.7593259826660156,0.5649995312499894,0.5572874999999963,0.0032722018391250617,0.001499068392310115
16,0.25,oracle_ipw,10000,0.9779215833122348,0.008272545904995316,0.9617073933384439,0.9941357732860256,0.9857313368055554,0.3830662447705683,0.0025903645833382782,-0.00289236111111104,0.005281896999713185,0.003226532485829065
16,0.25,self_normalized,10000,0.8952682284940509,0.008779284715313898,0.8780608304520356,0.9124756265360661,,0.49006719231473556,0.10380645982142589,0.0979880642361142,0.00578032679827193,0.003682593450349178
16,0.25,population_clipped,10000,0.3902981520864457,0.0037690527049346863,0.3829108087847737,0.3976854953881177,0.39722056140164375,0.3599148838572793,0.3038809895833361,0.2972039930555375,0.0036172831417944596,0.0022002628741563113
16,0.5,unweighted,10000,0.32847211035156243,0.002150960322781799,0.3242562281189101,0.3326879925842148,0.33057812500000006,0.7672777353515623,0.5651603124999989,0.5570812499999998,0.003361160955840792,0.0015675382704552015
16,0.5,oracle_ipw,10000,0.6860806402512539,0.0063752397493239375,0.673585170342579,0.6985761101599288,0.6929253472222223,0.42260355691792073,0.002900868055554673,-0.003011805555554359,0.005686537498713867,0.003150575288742125
16,0.5,self_normalized,10000,0.6458801675451522,0.00641393603388047,0.6333088529187465,0.6584514821715579,,0.5085627537306681,0.10388190178571888,0.09770273759920706,0.005897882871813256,0.0037473201492808287
