horizon,method,update,seeds,reference_success_mean,reference_success_seed_se,cheap_success_mean,mean_purchased_queries
48,rr_completion,75,10,0.138671875,0.0069451225797367636,0.777734375,231.2
48,rr_completion,100,10,0.187890625,0.00822376701804069,0.776171875,302.8
48,rr_completion,125,10,0.229296875,0.011500425763933095,0.7984375,380.2
48,rr_completion,150,10,0.2796875,0.01257302885893053,0.814453125,459.2
48,rr_completion,175,10,0.340625,0.013327126647837485,0.82890625,542.5
48,rr_completion,200,10,0.38046875,0.016615726188488823,0.83203125,618.9
48,rr_completion,225,10,0.4375,0.020222154852413726,0.84453125,709.2
48,rr_completion,250,10,0.4890625,0.01745763100218163,0.85234375,788.2
48,rr_completion,275,10,0.525,0.014050438500225217,0.873046875,873.7
48,rr_completion,300,10,0.566015625,0.017160351823205154,0.867578125,956.6
48,whole_group_residual,0,10,0.049609375,0.0029144569382290875,0.7484375,0.0
48,whole_group_residual,25,10,0.078125,0.005009214599393579,0.755078125,79.1
48,whole_group_residual,50,10,0.103125,0.005374939437643304,0.770703125,154.9
48,whole_group_residual,75,10,0.146484375,0.009483780070119865,0.768359375,230.8
48,whole_group_residual,100,10,0.18046875,0.010622957319984968,0.76640625,301.5
48,whole_group_residual,125,10,0.224609375,0.009025795221678838,0.775390625,375.6
48,whole_group_residual,150,10,0.2875,0.011066942375456133,0.808984375,453.1
48,whole_group_residual,175,10,0.33125,0.011348311754948397,0.825390625,533.7
48,whole_group_residual,200,10,0.38515625,0.01492803192496512,0.840625,608.7
48,whole_group_residual,225,10,0.433984375,0.014422593502626837,0.849609375,699.5
48,whole_group_residual,250,10,0.48359375,0.013288907106430284,0.86875,776.2
48,whole_group_residual,275,10,0.517578125,0.010355451641007072,0.8796875,865.3
48,whole_group_residual,300,10,0.552734375,0.011620683422377747,0.87734375,948.6
