horizon,method,seed,shared_query_ceiling,update,actual_queries,actual_training_trajectories,reference_success,comparison,zero_query_proxy
48,rr_completion,1,956.6,300,822,2400,0.484375,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,rr_completion,2,956.6,275,927,2200,0.546875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,rr_completion,3,956.6,275,955,2200,0.5703125,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,rr_completion,4,956.6,275,909,2200,0.51171875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,rr_completion,5,956.6,275,896,2200,0.53515625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,rr_completion,6,956.6,275,891,2200,0.58984375,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,rr_completion,7,956.6,275,943,2200,0.52734375,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,rr_completion,8,956.6,300,918,2400,0.45703125,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,rr_completion,9,956.6,300,934,2400,0.5859375,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,naive_reward_ht,0,956.6,300,914,2400,0.35546875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,naive_reward_ht,1,956.6,275,863,2200,0.31640625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,naive_reward_ht,2,956.6,275,879,2200,0.27734375,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,naive_reward_ht,3,956.6,275,908,2200,0.31640625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,naive_reward_ht,4,956.6,300,913,2400,0.35546875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,naive_reward_ht,5,956.6,300,916,2400,0.3125,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,naive_reward_ht,6,956.6,300,905,2400,0.265625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,naive_reward_ht,7,956.6,300,916,2400,0.328125,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,naive_reward_ht,8,956.6,300,884,2400,0.25,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,naive_reward_ht,9,956.6,300,935,2400,0.37109375,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,partial_replacement,0,956.6,275,898,2200,0.296875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,partial_replacement,1,956.6,275,909,2200,0.28515625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,partial_replacement,2,956.6,275,931,2200,0.25,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,partial_replacement,3,956.6,250,865,2000,0.28125,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,partial_replacement,4,956.6,275,894,2200,0.296875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,partial_replacement,5,956.6,275,901,2200,0.28515625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,partial_replacement,6,956.6,275,943,2200,0.15234375,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,partial_replacement,7,956.6,275,929,2200,0.21875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,partial_replacement,8,956.6,275,880,2200,0.23828125,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,partial_replacement,9,956.6,275,893,2200,0.25390625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
