org_code,year,release_vintage,historical_value,value_in_2025_release,difference
RRE,2023,2023,5.545843445479989,5.534207849231851,0.011635596248138036
RRF,2021,2023,5.112807412995063,5.104282311802642,0.008525101192421225
RRF,2022,2023,5.062759118888986,5.053615448710494,0.009143670178492158
RRF,2023,2023,5.201498625181712,5.192115359529274,0.009383265652437522
RRJ,2021,2023,5.320503043656394,5.316397916846648,0.00410512680974584
RRJ,2022,2023,5.300392678395546,5.302691933013416,-0.002299254617869728
RRJ,2023,2023,5.443866219578426,5.437632152886327,0.006234066692099027
RRK,2021,2023,4.55992394038504,4.550384037764103,0.009539902620936402
RRK,2022,2023,4.621673928210589,4.610361009260644,0.011312918949944795
RRK,2023,2023,4.756066079231489,4.745916300721418,0.010149778510070817
RRU,2021,2023,4.081971193430601,4.063172793513713,0.018798399916887476
RRU,2022,2023,4.149883895785731,4.124036934727775,0.025846961057955475
RRU,2023,2023,4.488234996061676,4.45747550722887,0.030759488832805992
RRV,2021,2023,4.794820405597112,4.785358234649236,0.00946217094787638
RRV,2022,2023,4.872973356567061,4.86266041439796,0.010312942169100836
RRV,2023,2023,5.097968189640836,5.08609547366565,0.011872715975186132
RT1,2021,2023,5.00545718659458,4.994582696128415,0.010874490466164843
RT1,2022,2023,5.034256770289152,5.023044724253939,0.01121204603521253
RT1,2023,2023,5.301504502812221,5.291472949353076,0.01003155345914486
RT2,2021,2023,5.170704228471386,5.157508322687175,0.013195905784211703
RT2,2022,2023,5.231783303663039,5.219301993641397,0.012481310021641434
RT2,2023,2023,5.359754336789966,5.352656280695289,0.007098056094677396
RT5,2021,2023,5.047197340071309,5.039112039464245,0.008085300607064028
RT5,2022,2023,5.154397962919258,5.14251715467134,0.011880808247917152
RT5,2023,2023,5.260871088220389,5.250119865289554,0.010751222930834636
RTD,2021,2023,4.807637758242164,4.797922810518719,0.009714947723445277
RTD,2022,2023,4.848001535799032,4.838454771111657,0.009546764687375031
RTD,2023,2023,4.864180644735809,4.855193972580867,0.008986672154941644
RTE,2021,2023,4.588302008361809,4.577930094539695,0.01037191382211411
RTE,2022,2023,4.593123384645632,4.580100366921196,0.013023017724435704
RTE,2023,2023,4.838543728706402,4.825912988625287,0.0126307400811152
RTF,2021,2023,5.267223880227917,5.259735768277637,0.007488111950279652
RTF,2022,2023,5.253658046995867,5.243427218178822,0.010230828817045179
RTF,2023,2023,5.391456760607386,5.382928554171006,0.008528206436380081
RTG,2021,2023,4.750739107434892,4.741126231001675,0.009612876433217288
RTG,2022,2023,4.797792798424018,4.786901210048168,0.010891588375850247
RTG,2023,2023,4.8772780944396,4.867708844353051,0.009569250086548742
RTH,2021,2023,4.966729276812458,4.957558147346745,0.00917112946571308
RTH,2022,2023,5.013833821436032,5.002499061778113,0.011334759657919413
