org_code,org_name,benchmark_group,raw_selected,selected_somewhere_0_3000,selected_everywhere_0_3000,boundary_ties
RXC,East Sussex Healthcare NHS Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RXE,Rotherham Doncaster and South Humber NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
RXF,Mid Yorkshire Teaching NHS Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RXG,South West Yorkshire Partnership NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
RXK,Sandwell and West Birmingham Hospitals NHS Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RXM,Derbyshire Healthcare NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
RXN,Lancashire Teaching Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RXP,County Durham and Darlington NHS Foundation Trust,Acute&Acute Community Trusts,1,1,1,stable organisation-code order
RXQ,Buckinghamshire Healthcare NHS Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RXV,Greater Manchester Mental Health NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,1,1,stable organisation-code order
RXW,The Shrewsbury and Telford Hospital NHS Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RXX,Surrey and Borders Partnership NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
RXY,Kent and Medway NHS and Social Care Partnership Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
RY2,Bridgewater Community Healthcare NHS Foundation Trust,Community Trusts,1,1,1,stable organisation-code order
RY3,Norfolk Community Health and Care NHS Trust,Community Trusts,0,0,0,stable organisation-code order
RY4,Hertfordshire Community NHS Trust,Community Trusts,0,0,0,stable organisation-code order
RY5,Lincolnshire Community Health Services NHS Trust,Community Trusts,1,1,1,stable organisation-code order
RY6,Leeds Community Healthcare NHS Trust,Community Trusts,0,0,0,stable organisation-code order
RY7,Wirral Community Health and Care NHS Foundation Trust,Community Trusts,0,0,0,stable organisation-code order
RY8,Derbyshire Community Health Services NHS Foundation Trust,Community Trusts,0,0,0,stable organisation-code order
RYA,West Midlands Ambulance Service University NHS Foundation Trust,Ambulance Trusts,1,1,1,stable organisation-code order
RYC,East of England Ambulance Service NHS Trust,Ambulance Trusts,0,0,0,stable organisation-code order
RYD,South East Coast Ambulance Service NHS Foundation Trust,Ambulance Trusts,0,0,0,stable organisation-code order
RYE,South Central Ambulance Service NHS Foundation Trust,Ambulance Trusts,1,1,1,stable organisation-code order
RYF,South Western Ambulance Service NHS Foundation Trust,Ambulance Trusts,0,0,0,stable organisation-code order
RYG,Coventry and Warwickshire Partnership NHS Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
RYJ,Imperial College Healthcare NHS Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RYR,University Hospitals Sussex NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RYV,Cambridgeshire Community Services NHS Trust,Community Trusts,0,0,0,stable organisation-code order
RYW,Birmingham Community Healthcare NHS Foundation Trust,Community Trusts,0,0,0,stable organisation-code order
RYX,Central London Community Healthcare NHS Trust,Community Trusts,0,0,0,stable organisation-code order
RYY,Kent Community Health NHS Foundation Trust,Community Trusts,0,0,0,stable organisation-code order
TAD,Bradford District Care NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
TAH,Sheffield Health and Social Care NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,1,1,stable organisation-code order
TAJ,Black Country Healthcare NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,1,1,stable organisation-code order
