year,state,state_name,n_complete,employed_all,n_mental_missing,finite_file_unweighted_mean,finite_file_variance,finite_file_standard_deviation,finite_file_weighted_ratio,sum_survey_weight,mean_survey_weight,kish_weight_concentration_n,minimum_survey_weight,maximum_survey_weight,observed_strata,observed_psus
2023,53,Washington,13474,13652,178,8.491984562861807,6.6035220836434085,2.5697319089047808,8.368676959254921,3572395.85550837,265.1325408570855,8514.90699319702,4.58623644,2503.80909,96,13474
2023,54,West Virginia,1791,1813,22,8.098083007630747,9.805194538428921,3.131324725803589,7.959249821214116,681021.7477405,380.24664865466224,1293.9286818400133,24.3483069,2409.08118,4,1791
2023,55,Wisconsin,5452,5520,68,8.614331132306187,6.904369494329549,2.627616694712063,8.40782766086423,2618424.0296439,480.2685307490646,3087.0033499538754,22.9796441,4456.14865,44,5452
2023,56,Wyoming,1935,1965,30,8.71266149870801,6.489012813065454,2.5473540808190474,8.483376810117331,262011.4803251,135.40644978041345,1347.5723672890508,11.705582,766.187766,4,1935
2024,01,Alabama,2255,2271,16,8.35949741315595,8.364183635063522,2.8920898386916547,8.185539183567439,2170983.4742528,962.7421171852772,1475.4580445062445,58.803508,7857.54663,31,2255
2024,02,Alaska,2966,3002,36,8.635873229939312,6.509578474376643,2.5513875586387584,8.45315860272667,345039.11800770997,116.3314625784592,1329.9866495732763,2.97053076,1397.34632,34,2966
2024,04,Arizona,3588,3624,36,8.519881085098476,7.053209350407741,2.6557878963516157,8.52873908264292,3154882.59052958,879.2872325890692,1268.6830201779903,2.57571392,18017.7692,41,3588
2024,05,Arkansas,2160,2202,42,8.293209876543209,8.535118503276939,2.9214925129592477,8.125483974844077,1228007.418979,568.5219532310185,1475.7765870340718,18.8571601,3300.81699,17,2160
2024,06,California,3867,3928,61,8.431945521937763,7.465435823598815,2.732294973753532,8.545610825853306,16325559.54180796,4221.7635225776985,2100.468641690261,9.26859406,34261.2631,29,3867
2024,08,Colorado,5870,5922,52,8.508233957978423,6.670261560255146,2.5826849518001893,8.431772620340409,2838137.6559881,483.49874889064733,4602.700868056751,25.0450121,2455.05664,51,5870
2024,09,Connecticut,3997,4037,40,8.553915436577434,6.99943516000217,2.6456445641851003,8.571202187754892,1637619.7150144,409.71221291328493,2197.481176824417,10.0005576,4576.58803,36,3997
2024,10,Delaware,1743,1764,21,8.68655574679671,6.559813514821152,2.561213289599512,8.369212004293951,452803.188627,259.78381447332185,935.8131514403586,16.040781,2372.32013,11,1743
2024,11,District of Columbia,1777,1797,20,8.71562558619396,5.252464526105804,2.2918255880641976,8.477254998856875,367207.5448246,206.6446509986494,1332.5332772217223,10.4510428,1078.40249,5,1777
2024,12,Florida,4937,4996,59,8.560529336304098,7.301812984718793,2.702186704267267,8.406697482815565,9474829.65310725,1919.1471851543954,1438.0881983033369,8.82915485,35555.0159,210,4937
2024,13,Georgia,3156,3183,27,8.443810730882975,7.7655021097904955,2.78666505159671,8.399907718405041,4849031.3757108,1536.4484713912548,1800.8101051755789,18.6879506,13127.1524,86,3156
2024,15,Hawaii,3177,3204,27,8.658482845451683,6.79285436945531,2.6063104898410145,8.684882285436716,660164.5044183499,207.79493371682403,1742.0721566243312,4.90223664,2036.33132,16,3177
2024,16,Idaho,2284,2316,32,8.519994162288384,7.448763494809275,2.7292422931665987,8.49320222329008,908340.5170017,397.6972491250876,1238.119166611043,23.9251509,3275.52357,26,2284
2024,17,Illinois,6514,6545,31,8.664926824275918,6.3653638750055626,2.5229672758491266,8.664274133705682,5606825.8434943,860.7347011811943,4337.340870217818,16.0166055,6347.87379,50,6514
2024,18,Indiana,6530,6618,88,8.48570699336396,7.28913550917859,2.6998399043607364,8.37349546599575,2993962.1247717,458.49343411511484,4407.616066410866,22.2800833,4305.03722,41,6530
2024,19,Iowa,4612,4650,38,8.577984966753396,6.780682342262196,2.6039743359453826,8.462328445598875,1498240.09771635,324.85691624378796,2909.3575410514177,7.54589674,2319.66531,29,4612
2024,20,Kansas,5814,5909,95,8.534743722050223,7.349851620863675,2.711060976972609,8.400364157564868,1394657.97798452,239.879253179312,3442.8640259654107,6.4378041,2452.42304,39,5814
