scenario,weighted,kappa,validation_kappa,audit_cost,budget,units,k,policy,ordinary_count_mean,validation_count_mean,mean_estimate,reference,state
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.568904502613536,8.66492682427592,17
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.549473414068636,8.485706993363962,18
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.560448983978928,8.577984966753396,19
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.555046846145567,8.534743722050223,20
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.53671600586484,8.30594265577447,22
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.560852085254174,8.594057633792733,23
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.565767389434024,8.630635650276268,24
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.56781458413134,8.637808611816821,25
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.55479796541733,8.529325204961111,26
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.565482460898798,8.632127728901924,27
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.569091543840488,8.698599093531108,28
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.541033774088232,8.384601691143747,29
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.559120394420203,8.572748028227481,30
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.58409377835786,8.814423125346226,31
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.532278435749847,8.271645021645021,32
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.579040568189884,8.757779437391088,33
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.568572400784618,8.648255191607793,34
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.533513852137963,8.344547053649956,35
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.555285907593785,8.55199342375668,36
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.551296260922989,8.525340283811179,37
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.59432497448386,8.852889474840696,38
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.552114619857399,8.497960372960375,39
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.546255294490962,8.43805003460892,40
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.5229687198196,8.179193899782135,41
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.574122720079794,8.715135738192634,44
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.569287221847004,8.683043063859284,45
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.5823700518931,8.805004409171076,46
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.550590709160456,8.50069498069498,48
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.545668886346284,8.465273829827554,49
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.55815409535911,8.580938833570412,50
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.559911994460588,8.594168096054887,51
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.54318585104828,8.444160681032189,53
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.535581868351645,8.267142457318778,54
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.550741050731968,8.5075743170438,55
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.56614931661203,8.636943744752307,56
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,44.6,0.0,8.53746182954263,8.35949741315595,01
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,35.14,0.0,8.564636561362233,8.635873229939312,02
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,41.22,0.0,8.55559090295179,8.519881085098477,04
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,50.06,0.0,8.529974907278984,8.29320987654321,05
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,42.64,0.0,8.547774710863159,8.431945521937767,06
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,41.24,0.0,8.55376632271466,8.508233957978423,08
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,39.16,0.0,8.557132366967759,8.553915436577434,09
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,34.38,0.0,8.568981987618287,8.68655574679671,10
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,29.16,0.0,8.573633860424303,8.715625586193958,11
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,42.94,0.0,8.558215265283271,8.560529336304098,12
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,42.86,0.0,8.546553564456374,8.443810730882975,13
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,38.94,0.0,8.565155157497873,8.658482845451683,15
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,42.76,0.0,8.553632596764935,8.519994162288384,16
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,34.38,0.0,8.56749461580499,8.66492682427592,17
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,42.56,0.0,8.55083946219042,8.485706993363962,18
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,40.78,0.0,8.559790442740283,8.577984966753396,19
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,40.6,0.0,8.55581513380367,8.534743722050223,20
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,51.02,0.0,8.533619767042754,8.30594265577447,22
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,38.74,0.0,8.559872008487309,8.594057633792733,23
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,36.06,0.0,8.564978300552378,8.630635650276268,24
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,34.9,0.0,8.566900956876092,8.637808611816821,25
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,42.4,0.0,8.555248473591194,8.529325204961111,26
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,34.78,0.0,8.565641980152577,8.632127728901924,27
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,34.98,0.0,8.569273450034842,8.698599093531108,28
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,49.78,0.0,8.54002696203041,8.384601691143747,29
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,39.06,0.0,8.561565266381491,8.572748028227481,30
unweighted_uniform,False,0.0,0.0,2,48,48,9,boundary,29.82,0.0,8.579103021397934,8.814423125346226,31
